value,name,color,percent_valid,ndvi,ndwi,ndbi,brightness,pixels
0,Water,#1d4e89,2.90,-0.06792996823787689,0.05371977388858795,-0.038730088621377945,0.16933947801589966,456956
1,Dense vegetation,#14532d,18.06,0.7991095781326294,-0.6806827187538147,-0.28271132707595825,0.13850456476211548,2845057
2,Cropland,#65a30d,24.15,0.7238540053367615,-0.6263716220855713,-0.21590115129947662,0.11714456230401993,3804450
3,Grassland / shrub,#a3b18a,24.44,0.5418875813484192,-0.5100775361061096,-0.04971732571721077,0.13796919584274292,3850435
4,Sparse vegetation,#d4a373,10.30,0.38630276918411255,-0.36916449666023254,-0.0135829858481884,0.1042042225599289,1623052
5,Bare soil,#e9d8a6,16.00,0.2771071195602417,-0.33071860671043396,0.11202935129404068,0.15363536775112152,2520661
6,Built-up,#9b2226,4.15,0.1812887191772461,-0.23770777881145477,0.09391286969184875,0.21945537626743317,653933
